id,marca,modelo,ano,cor,preco,quilometragem,status,data_entrada,vendedor_id,categoria
CAR0042,Nissan,Pathfinder,2020,Preto,79561,12336,Disponível,2025-09-24,VEND06,Pickup
CAR0043,Chevrolet,Malibu,2022,Azul,50344,16667,Disponível,2025-01-12,VEND06,Hatchback
CAR0044,Hyundai,Elantra,2022,Branco,45958,27957,Vendido,2024-12-15,VEND01,Pickup
CAR0045,Nissan,Altima,2022,Branco,56328,12860,Disponível,2024-12-24,VEND04,Sedan
CAR0046,Volkswagen,Atlas,2022,Branco,57130,94542,Disponível,2024-12-25,VEND05,Sedan
CAR0047,Toyota,Prius,2023,Preto,72865,40086,Disponível,2025-05-15,VEND05,Sedan
CAR0048,Volkswagen,Jetta,2024,Vermelho,77781,37442,Disponível,2025-09-04,VEND08,Sedan
CAR0049,Honda,Civic,2021,Branco,71540,84372,Vendido,2024-12-06,VEND07,Pickup
CAR0050,Ford,F-150,2023,Preto,67842,73605,Disponível,2025-05-18,VEND09,SUV
CAR0051,Chevrolet,Cruze,2022,Azul,33280,40729,Vendido,2025-10-08,VEND09,Pickup
CAR0052,Chevrolet,Equinox,2024,Prata,49448,21370,Vendido,2025-03-06,VEND09,Sedan
CAR0053,Chevrolet,Cruze,2022,Prata,58973,26334,Disponível,2025-09-26,VEND05,Hatchback
CAR0054,Ford,Focus,2021,Branco,37530,56044,Disponível,2025-02-11,VEND03,Sedan
CAR0055,Nissan,Rogue,2022,Branco,25116,75007,Disponível,2025-02-22,VEND05,Hatchback
CAR0056,Hyundai,Elantra,2021,Vermelho,26357,61297,Disponível,2025-03-14,VEND05,SUV
CAR0057,Chevrolet,Silverado,2022,Prata,70638,16868,Disponível,2025-03-22,VEND10,Sedan
CAR0058,Toyota,Prius,2024,Vermelho,31242,51661,Disponível,2025-06-15,VEND01,Sedan
CAR0059,Ford,F-150,2020,Azul,69996,19559,Disponível,2025-11-02,VEND05,Pickup
CAR0060,Honda,Civic,2021,Prata,74904,84692,Disponível,2025-06-11,VEND03,Hatchback
CAR0061,Chevrolet,Equinox,2020,Vermelho,65940,35186,Disponível,2025-06-02,VEND06,Sedan
CAR0062,Nissan,Pathfinder,2021,Prata,39137,55395,Disponível,2025-05-15,VEND05,Hatchback
CAR0063,Ford,F-150,2024,Prata,54850,2558,Disponível,2025-07-14,VEND09,SUV
CAR0064,Volkswagen,Jetta,2024,Cinza,32662,16526,Disponível,2025-07-07,VEND06,Hatchback
CAR0065,Volkswagen,Atlas,2024,Branco,49475,24365,Disponível,2025-02-10,VEND07,Hatchback
CAR0066,Toyota,Camry,2021,Vermelho,49994,90200,Reservado,2025-11-25,VEND08,SUV
CAR0067,Honda,Pilot,2023,Prata,35270,42971,Vendido,2024-12-08,VEND10,Hatchback
CAR0068,Honda,Accord,2021,Azul,67130,10994,Disponível,2025-08-10,VEND06,SUV
CAR0069,Ford,Focus,2021,Azul,72953,99475,Reservado,2025-04-24,VEND01,Pickup
CAR0070,Honda,Accord,2024,Cinza,76029,5877,Disponível,2025-07-11,VEND06,SUV
CAR0071,Hyundai,Elantra,2021,Vermelho,45387,24244,Disponível,2025-01-16,VEND02,SUV
CAR0072,Chevrolet,Silverado,2020,Azul,67559,60422,Disponível,2025-05-24,VEND10,SUV
CAR0073,Ford,Focus,2023,Azul,74090,328,Disponível,2025-05-03,VEND01,Hatchback
CAR0074,Honda,CR-V,2024,Cinza,77315,62751,Vendido,2024-12-08,VEND09,Sedan
CAR0075,Ford,F-150,2021,Prata,54862,51351,Disponível,2025-05-29,VEND07,Hatchback
CAR0076,Hyundai,Sonata,2021,Cinza,47012,22242,Disponível,2025-11-04,VEND07,Hatchback
CAR0077,Ford,Focus,2021,Cinza,57776,99776,Disponível,2025-10-09,VEND09,Sedan
CAR0078,Volkswagen,Jetta,2021,Azul,79358,26755,Vendido,2025-11-12,VEND10,SUV
CAR0079,Hyundai,Elantra,2023,Azul,27761,28486,Disponível,2025-02-24,VEND05,Sedan
CAR0080,Volkswagen,Tiguan,2021,Preto,76576,27456,Vendido,2025-09-22,VEND04,Hatchback
CAR0081,Toyota,RAV4,2021,Branco,77730,16413,Reservado,2025-01-28,VEND06,SUV
CAR0082,Volkswagen,Atlas,2021,Preto,67134,34496,Vendido,2025-08-09,VEND03,Sedan
CAR0083,Honda,CR-V,2022,Cinza,54933,12025,Disponível,2025-10-24,VEND07,Pickup
CAR0084,Volkswagen,Jetta,2022,Preto,71806,32289,Disponível,2025-11-15,VEND02,Sedan
CAR0085,Hyundai,Tucson,2023,Cinza,62797,9312,Disponível,2025-05-02,VEND10,Hatchback
CAR0086,Nissan,Altima,2022,Prata,57297,84699,Vendido,2025-01-17,VEND05,SUV
CAR0087,Honda,Civic,2021,Azul,40851,18720,Disponível,2025-08-23,VEND07,Sedan
CAR0088,Nissan,Altima,2020,Vermelho,36508,29146,Disponível,2025-10-24,VEND06,Hatchback
CAR0089,Chevrolet,Equinox,2022,Prata,51457,53625,Disponível,2025-02-17,VEND10,SUV
CAR0090,Chevrolet,Malibu,2022,Azul,69088,61905,Disponível,2025-06-24,VEND10,SUV
CAR0091,Nissan,Rogue,2024,Prata,71841,37330,Vendido,2025-03-03,VEND07,Pickup
CAR0092,Honda,Accord,2020,Vermelho,77785,3656,Disponível,2025-01-03,VEND09,SUV
CAR0093,Nissan,Rogue,2020,Azul,66655,2297,Disponível,2024-12-24,VEND06,Pickup
CAR0094,Hyundai,Sonata,2023,Preto,61610,10169,Disponível,2025-08-04,VEND05,Sedan
CAR0095,Ford,Fusion,2020,Azul,25852,89078,Disponível,2025-03-17,VEND07,Hatchback
CAR0096,Volkswagen,Atlas,2020,Vermelho,77786,69860,Disponível,2025-07-25,VEND01,Pickup
CAR0097,Toyota,Prius,2021,Preto,68761,55010,Vendido,2025-06-23,VEND10,Sedan
CAR0098,Chevrolet,Cruze,2024,Azul,77184,94393,Disponível,2025-07-17,VEND04,Sedan
CAR0099,Nissan,Rogue,2024,Vermelho,47422,25132,Vendido,2025-05-18,VEND01,Sedan
CAR0100,Nissan,Altima,2021,Branco,30909,26355,Disponível,2025-01-11,VEND04,Sedan
CAR0101,Toyota,RAV4,2022,Cinza,49527,35442,Vendido,2025-11-02,VEND05,SUV
CAR0102,Nissan,Altima,2022,Azul,46782,32267,Vendido,2025-10-15,VEND03,SUV
CAR0103,Toyota,RAV4,2023,Preto,35000,94464,Vendido,2025-08-29,VEND06,Hatchback
CAR0104,Volkswagen,Tiguan,2024,Branco,54585,67439,Disponível,2025-06-13,VEND09,Sedan
CAR0105,Hyundai,Tucson,2021,Cinza,37448,46271,Vendido,2025-11-20,VEND09,Sedan
CAR0106,Nissan,Sentra,2024,Azul,64933,55425,Vendido,2025-04-28,VEND09,Sedan
CAR0107,Nissan,Sentra,2020,Preto,30318,30300,Vendido,2025-11-05,VEND03,Hatchback
CAR0108,Ford,Focus,2022,Azul,49604,43983,Vendido,2025-01-22,VEND03,Pickup
CAR0109,Chevrolet,Malibu,2023,Prata,55689,26363,Disponível,2025-04-09,VEND03,Hatchback
CAR0110,Hyundai,Santa Fe,2024,Vermelho,76504,85146,Vendido,2025-08-24,VEND06,Sedan
CAR0111,Nissan,Sentra,2022,Preto,59220,53660,Disponível,2025-11-18,VEND07,Hatchback
CAR0112,Toyota,Prius,2020,Cinza,65411,1401,Disponível,2025-09-11,VEND02,Sedan
CAR0113,Honda,CR-V,2023,Azul,51446,41836,Vendido,2025-06-09,VEND04,Hatchback
CAR0114,Honda,CR-V,2020,Cinza,69675,87239,Disponível,2025-06-26,VEND08,Sedan
CAR0115,Nissan,Rogue,2022,Branco,46403,70244,Disponível,2025-01-21,VEND10,Hatchback
CAR0116,Nissan,Sentra,2021,Vermelho,60394,67665,Vendido,2025-11-22,VEND02,Pickup
CAR0117,Ford,Fusion,2024,Vermelho,54075,39037,Disponível,2025-01-16,VEND07,Hatchback
CAR0118,Chevrolet,Cruze,2023,Branco,41671,7824,Reservado,2025-01-26,VEND02,Hatchback
CAR0119,Hyundai,Sonata,2021,Cinza,65382,44446,Vendido,2025-09-23,VEND02,Sedan
CAR0120,Ford,Fusion,2020,Cinza,32374,13374,Disponível,2025-07-20,VEND01,Sedan
CAR0121,Honda,Civic,2021,Prata,57920,7299,Vendido,2025-08-07,VEND07,Sedan
CAR0122,Chevrolet,Cruze,2024,Branco,72498,90972,Disponível,2025-06-17,VEND02,Pickup
CAR0123,Volkswagen,Jetta,2024,Prata,32047,3414,Disponível,2025-10-21,VEND01,SUV
CAR0124,Nissan,Altima,2022,Prata,78661,16931,Disponível,2025-04-09,VEND01,Hatchback
CAR0125,Ford,F-150,2021,Branco,66641,43510,Disponível,2025-11-05,VEND06,SUV
CAR0126,Nissan,Altima,2022,Vermelho,67540,8287,Vendido,2025-01-04,VEND03,Sedan
CAR0127,Hyundai,Tucson,2021,Preto,67038,57984,Disponível,2024-12-13,VEND09,Hatchback
CAR0128,Volkswagen,Tiguan,2023,Azul,40456,31464,Reservado,2025-09-24,VEND04,Pickup
CAR0129,Volkswagen,Jetta,2020,Vermelho,76934,91720,Disponível,2025-07-01,VEND07,Sedan
CAR0130,Hyundai,Tucson,2022,Branco,40071,39235,Disponível,2025-03-17,VEND05,Pickup
CAR0131,Chevrolet,Cruze,2022,Cinza,47773,68391,Vendido,2025-11-17,VEND07,Sedan
CAR0132,Volkswagen,Atlas,2022,Azul,67669,8078,Vendido,2025-07-10,VEND06,Pickup
CAR0133,Volkswagen,Atlas,2024,Cinza,52130,99717,Vendido,2025-04-01,VEND10,SUV
CAR0134,Volkswagen,Atlas,2021,Preto,78876,89734,Disponível,2025-06-05,VEND09,Pickup
CAR0135,Chevrolet,Equinox,2023,Cinza,35613,26556,Vendido,2025-08-28,VEND10,Hatchback
CAR0136,Nissan,Rogue,2023,Preto,59608,82600,Disponível,2024-12-23,VEND10,Hatchback
CAR0137,Toyota,Prius,2021,Prata,28705,86617,Vendido,2025-03-06,VEND03,Pickup
CAR0138,Chevrolet,Cruze,2022,Azul,54778,5290,Disponível,2025-10-03,VEND03,Pickup
CAR0139,Ford,Escape,2022,Prata,33242,88997,Vendido,2025-10-05,VEND05,Sedan
CAR0140,Nissan,Rogue,2022,Branco,42191,5961,Disponível,2025-08-23,VEND09,Hatchback
CAR0141,Ford,F-150,2023,Branco,43446,64781,Disponível,2025-08-10,VEND03,SUV
CAR0142,Chevrolet,Silverado,2020,Cinza,35499,90369,Reservado,2025-11-21,VEND08,Sedan
CAR0143,Hyundai,Sonata,2020,Cinza,65382,27298,Reservado,2025-03-13,VEND05,Sedan
CAR0144,Honda,Civic,2024,Vermelho,53804,7552,Disponível,2025-04-22,VEND05,Pickup
CAR0145,Toyota,Prius,2020,Vermelho,43159,94853,Disponível,2025-01-05,VEND04,Pickup
CAR0146,Hyundai,Santa Fe,2022,Prata,58257,92455,Vendido,2025-01-31,VEND03,Sedan
CAR0147,Ford,Fusion,2021,Prata,28859,18048,Vendido,2025-11-02,VEND09,Sedan
CAR0148,Nissan,Pathfinder,2020,Branco,66963,66188,Disponível,2025-06-05,VEND06,Hatchback
CAR0149,Ford,Focus,2021,Cinza,58975,80750,Disponível,2025-04-22,VEND06,Pickup
CAR0150,Volkswagen,Tiguan,2022,Azul,69394,16679,Reservado,2025-02-27,VEND10,Hatchback
CAR0151,Toyota,Prius,2020,Prata,50038,76950,Disponível,2025-08-16,VEND09,Sedan
CAR0152,Toyota,Camry,2021,Cinza,53710,36201,Vendido,2025-09-13,VEND09,Pickup
CAR0153,Ford,Escape,2023,Prata,67486,63246,Disponível,2025-11-27,VEND10,SUV
CAR0154,Honda,Civic,2022,Preto,55221,48933,Vendido,2025-10-13,VEND04,Hatchback
CAR0155,Ford,Focus,2022,Cinza,47242,92698,Disponível,2025-04-23,VEND08,Sedan
CAR0156,Toyota,Camry,2022,Prata,35728,10277,Disponível,2025-06-26,VEND08,Hatchback
CAR0157,Nissan,Rogue,2020,Preto,73684,68002,Disponível,2025-05-20,VEND10,Sedan
CAR0158,Chevrolet,Equinox,2023,Preto,63583,74369,Disponível,2025-03-04,VEND02,Pickup
CAR0159,Hyundai,Santa Fe,2023,Vermelho,26092,52177,Disponível,2025-10-10,VEND10,Sedan
CAR0160,Toyota,Prius,2022,Preto,66350,1874,Disponível,2025-04-30,VEND02,Sedan
CAR0161,Ford,Fusion,2022,Branco,34401,54056,Disponível,2025-05-23,VEND02,Hatchback
CAR0162,Chevrolet,Silverado,2021,Prata,31391,7951,Vendido,2025-08-18,VEND04,Pickup
CAR0163,Volkswagen,Jetta,2023,Prata,30785,13997,Disponível,2025-05-19,VEND02,SUV
CAR0164,Volkswagen,Tiguan,2020,Prata,49544,64672,Disponível,2025-12-01,VEND04,Pickup
CAR0165,Nissan,Altima,2024,Vermelho,31662,58414,Disponível,2025-03-15,VEND10,SUV
CAR0166,Volkswagen,Tiguan,2023,Azul,44977,65216,Disponível,2025-07-16,VEND05,Sedan
CAR0167,Volkswagen,Tiguan,2022,Preto,78355,79559,Disponível,2025-04-30,VEND02,Pickup
CAR0168,Ford,Escape,2020,Cinza,68170,6143,Vendido,2025-02-03,VEND08,Sedan
CAR0169,Ford,F-150,2023,Vermelho,61755,92962,Vendido,2025-05-10,VEND09,Hatchback
CAR0170,Chevrolet,Silverado,2021,Azul,36965,97264,Disponível,2025-10-15,VEND07,Pickup
CAR0171,Volkswagen,Jetta,2022,Preto,64988,51568,Disponível,2025-05-05,VEND04,Hatchback
CAR0172,Volkswagen,Passat,2023,Vermelho,48765,23244,Disponível,2025-03-17,VEND02,SUV
CAR0173,Chevrolet,Equinox,2023,Vermelho,33645,89888,Disponível,2025-10-19,VEND03,Sedan
CAR0174,Nissan,Pathfinder,2021,Cinza,29057,5787,Disponível,2025-04-11,VEND08,Sedan
CAR0175,Toyota,Camry,2020,Preto,68929,70958,Disponível,2025-03-29,VEND06,Pickup
CAR0176,Volkswagen,Tiguan,2021,Cinza,25402,50107,Disponível,2025-03-26,VEND06,SUV
CAR0177,Volkswagen,Atlas,2021,Preto,53885,28290,Vendido,2025-03-28,VEND03,Sedan
CAR0178,Chevrolet,Silverado,2024,Cinza,51404,15645,Vendido,2025-04-30,VEND10,Pickup
CAR0179,Chevrolet,Malibu,2020,Branco,63039,69782,Disponível,2025-11-20,VEND03,Sedan
CAR0180,Hyundai,Santa Fe,2023,Vermelho,29189,82530,Vendido,2025-07-08,VEND06,SUV
CAR0181,Volkswagen,Jetta,2023,Branco,78809,59273,Disponível,2025-05-14,VEND03,Pickup
CAR0182,Nissan,Sentra,2023,Preto,51445,85766,Disponível,2025-05-25,VEND01,Hatchback
CAR0183,Nissan,Sentra,2022,Preto,43112,30860,Disponível,2025-09-18,VEND08,Hatchback
CAR0184,Hyundai,Tucson,2020,Prata,70581,68205,Disponível,2025-04-13,VEND02,SUV
CAR0185,Volkswagen,Passat,2022,Cinza,47682,61402,Vendido,2025-03-20,VEND10,Pickup
CAR0186,Volkswagen,Atlas,2021,Branco,41985,75303,Vendido,2025-01-26,VEND01,Hatchback
CAR0187,Toyota,Corolla,2023,Preto,50580,79321,Disponível,2025-04-15,VEND06,Pickup
CAR0188,Chevrolet,Equinox,2024,Azul,51068,30545,Disponível,2025-11-09,VEND07,Pickup
CAR0189,Hyundai,Sonata,2022,Vermelho,27655,37428,Disponível,2025-10-21,VEND03,Hatchback
CAR0190,Ford,Escape,2023,Branco,53431,97591,Disponível,2025-08-19,VEND02,Pickup
CAR0191,Nissan,Altima,2021,Azul,61021,60995,Disponível,2025-09-17,VEND08,SUV
CAR0192,Toyota,Prius,2020,Prata,78196,46416,Vendido,2025-02-10,VEND08,Pickup
CAR0193,Volkswagen,Jetta,2020,Azul,58523,11897,Disponível,2025-05-15,VEND07,Sedan
CAR0194,Toyota,RAV4,2023,Prata,45097,64614,Vendido,2025-09-21,VEND07,Hatchback
CAR0195,Honda,Accord,2023,Vermelho,55799,17757,Disponível,2025-01-04,VEND08,Pickup
CAR0196,Hyundai,Sonata,2024,Prata,65898,72928,Disponível,2025-08-15,VEND10,SUV
CAR0197,Volkswagen,Jetta,2024,Vermelho,40368,91042,Vendido,2025-04-29,VEND10,Hatchback
CAR0198,Ford,Fusion,2021,Cinza,75443,59738,Disponível,2025-07-21,VEND08,Sedan
CAR0199,Chevrolet,Silverado,2023,Vermelho,35266,90032,Vendido,2025-04-15,VEND03,SUV
CAR0200,Volkswagen,Tiguan,2022,Cinza,54325,57301,Disponível,2024-12-29,VEND05,Pickup
CAR0201,Honda,Civic,2024,Cinza,59178,14777,Vendido,2025-09-21,VEND06,SUV
CAR0202,Nissan,Altima,2023,Cinza,73605,6104,Disponível,2025-04-06,VEND03,Hatchback
CAR0203,Toyota,Prius,2024,Preto,60654,68626,Reservado,2025-12-01,VEND03,Pickup
CAR0204,Toyota,RAV4,2022,Prata,73968,82177,Reservado,2025-11-22,VEND06,SUV
CAR0205,Volkswagen,Tiguan,2021,Azul,65121,69309,Vendido,2025-02-12,VEND04,Pickup
CAR0206,Honda,Civic,2023,Azul,35867,20642,Reservado,2025-11-19,VEND08,SUV
CAR0207,Volkswagen,Passat,2021,Vermelho,73512,27310,Reservado,2025-04-27,VEND05,Hatchback
CAR0208,Toyota,Camry,2023,Azul,73666,66399,Disponível,2025-05-29,VEND09,Pickup
CAR0209,Nissan,Pathfinder,2021,Vermelho,46765,80943,Disponível,2025-04-01,VEND08,Sedan
CAR0210,Nissan,Altima,2020,Prata,44674,73118,Disponível,2025-04-28,VEND04,Hatchback
CAR0211,Toyota,Corolla,2022,Prata,45476,84049,Vendido,2025-08-30,VEND06,Pickup
CAR0212,Honda,Accord,2024,Preto,75170,87040,Disponível,2024-12-13,VEND06,Pickup
CAR0213,Toyota,RAV4,2021,Prata,37290,67647,Disponível,2025-08-25,VEND09,Hatchback
CAR0214,Nissan,Pathfinder,2023,Cinza,64824,33235,Disponível,2025-01-21,VEND05,SUV
CAR0215,Nissan,Pathfinder,2020,Azul,33504,3176,Disponível,2025-06-06,VEND08,Hatchback
CAR0216,Volkswagen,Atlas,2023,Azul,56434,49571,Vendido,2024-12-07,VEND01,SUV
CAR0217,Chevrolet,Cruze,2020,Branco,28372,31752,Disponível,2025-10-19,VEND09,Hatchback
CAR0218,Volkswagen,Passat,2024,Preto,51277,37358,Disponível,2025-01-08,VEND04,SUV
CAR0219,Ford,Escape,2021,Prata,32547,33055,Disponível,2025-06-25,VEND09,SUV
CAR0220,Hyundai,Sonata,2024,Azul,62080,6187,Reservado,2025-09-19,VEND02,Pickup
CAR0221,Chevrolet,Equinox,2020,Prata,59849,26012,Disponível,2025-03-15,VEND08,Hatchback
CAR0222,Honda,Pilot,2022,Preto,27103,72052,Disponível,2025-01-23,VEND09,SUV
CAR0223,Hyundai,Elantra,2023,Branco,26638,51891,Disponível,2025-01-24,VEND05,Sedan
CAR0224,Chevrolet,Equinox,2021,Preto,61494,47483,Disponível,2025-02-20,VEND07,Sedan
CAR0225,Ford,Escape,2022,Azul,27757,25124,Disponível,2025-01-19,VEND04,Hatchback
CAR0226,Volkswagen,Passat,2024,Preto,70940,32030,Disponível,2025-06-28,VEND08,SUV
CAR0227,Honda,Pilot,2023,Preto,61587,39987,Disponível,2025-06-19,VEND07,Sedan
CAR0228,Hyundai,Santa Fe,2021,Branco,64169,35192,Disponível,2025-06-13,VEND02,SUV
CAR0229,Honda,CR-V,2021,Prata,67653,71541,Disponível,2025-08-05,VEND04,SUV
CAR0230,Hyundai,Elantra,2020,Prata,60448,66689,Vendido,2025-03-19,VEND01,Pickup
CAR0231,Chevrolet,Equinox,2022,Branco,45046,16936,Vendido,2025-06-01,VEND10,Pickup
CAR0232,Nissan,Rogue,2022,Branco,57048,5537,Disponível,2025-02-14,VEND08,Sedan
CAR0233,Ford,F-150,2021,Prata,58194,54678,Vendido,2025-03-14,VEND05,Hatchback
CAR0234,Volkswagen,Passat,2022,Azul,49686,13694,Vendido,2025-04-16,VEND08,SUV
CAR0235,Hyundai,Tucson,2022,Prata,62554,49552,Disponível,2025-10-09,VEND01,Sedan
CAR0236,Honda,CR-V,2024,Branco,46476,36567,Disponível,2025-03-12,VEND08,Sedan
CAR0237,Ford,F-150,2022,Cinza,54073,61050,Vendido,2025-07-29,VEND02,Hatchback
CAR0238,Honda,CR-V,2022,Cinza,75657,42170,Vendido,2025-09-23,VEND05,Pickup
CAR0239,Ford,Escape,2021,Branco,62765,25326,Vendido,2025-02-06,VEND04,Hatchback
CAR0240,Hyundai,Sonata,2022,Prata,46231,44212,Reservado,2025-10-24,VEND01,SUV
CAR0241,Volkswagen,Jetta,2022,Preto,38742,95789,Disponível,2025-11-27,VEND08,Pickup
CAR0242,Honda,Pilot,2024,Preto,45615,76877,Disponível,2025-07-07,VEND04,Hatchback
CAR0243,Chevrolet,Malibu,2024,Prata,35287,8491,Vendido,2025-11-09,VEND06,Pickup
CAR0244,Hyundai,Tucson,2024,Branco,26135,83229,Vendido,2025-07-17,VEND09,Pickup
CAR0245,Volkswagen,Jetta,2022,Vermelho,75600,48636,Vendido,2025-09-01,VEND02,Sedan
CAR0246,Chevrolet,Equinox,2023,Prata,28468,61835,Disponível,2025-01-16,VEND06,Hatchback
CAR0247,Honda,Accord,2022,Vermelho,67825,49536,Vendido,2025-04-09,VEND04,Hatchback
CAR0248,Volkswagen,Atlas,2020,Vermelho,64237,62571,Disponível,2025-08-23,VEND09,Hatchback
CAR0249,Nissan,Pathfinder,2023,Branco,66724,87274,Disponível,2025-06-04,VEND04,Pickup
CAR0250,Hyundai,Tucson,2022,Vermelho,74043,50611,Disponível,2025-07-19,VEND10,Sedan
CAR0251,Nissan,Rogue,2022,Azul,72558,2015,Reservado,2025-12-01,VEND09,Pickup
CAR0252,Nissan,Sentra,2024,Preto,29638,21508,Disponível,2025-01-05,VEND05,SUV
CAR0253,Ford,F-150,2024,Azul,71364,98323,Vendido,2025-08-16,VEND06,Pickup
CAR0254,Ford,F-150,2021,Prata,40469,34706,Disponível,2025-06-19,VEND06,Sedan
CAR0255,Hyundai,Santa Fe,2020,Preto,29703,18091,Disponível,2025-05-02,VEND05,Pickup
CAR0256,Ford,F-150,2021,Azul,53594,76791,Disponível,2025-01-12,VEND06,Pickup
CAR0257,Chevrolet,Cruze,2024,Prata,30337,52511,Disponível,2025-07-27,VEND05,Sedan
CAR0258,Hyundai,Sonata,2023,Prata,35213,99787,Vendido,2025-11-09,VEND01,Sedan
CAR0259,Volkswagen,Atlas,2023,Prata,25560,48866,Disponível,2025-03-04,VEND09,Hatchback
CAR0260,Nissan,Pathfinder,2021,Cinza,62181,71147,Vendido,2025-05-19,VEND03,Pickup
CAR0261,Toyota,Prius,2024,Branco,56275,3952,Vendido,2025-01-10,VEND09,Hatchback
CAR0262,Chevrolet,Cruze,2020,Branco,55952,68409,Disponível,2025-03-24,VEND02,Hatchback
CAR0263,Honda,Pilot,2021,Vermelho,78948,90941,Disponível,2025-03-12,VEND04,Sedan
CAR0264,Toyota,Prius,2023,Azul,26778,53716,Disponível,2024-12-15,VEND07,Sedan
CAR0265,Hyundai,Elantra,2023,Prata,35008,71773,Vendido,2025-07-17,VEND02,Hatchback
CAR0266,Hyundai,Elantra,2024,Cinza,78949,98809,Disponível,2025-02-03,VEND01,Sedan
CAR0267,Ford,Focus,2021,Cinza,74212,40029,Vendido,2025-02-10,VEND08,Hatchback
CAR0268,Ford,Focus,2024,Branco,42196,69551,Disponível,2025-09-02,VEND01,Hatchback
