venda_id,car_id,data_venda,preco_venda,vendedor_id,cliente_id,forma_pagamento
SALE0148,CAR0680,2025-09-12,48004.9405756798,VEND09,CLI295,Financiado
SALE0149,CAR0355,2025-10-28,60745.30755095777,VEND02,CLI451,À vista
SALE0150,CAR0284,2025-06-09,68272.98084643079,VEND04,CLI208,Consórcio
SALE0151,CAR0599,2025-09-24,55101.588807698325,VEND09,CLI060,Consórcio
SALE0152,CAR0319,2025-11-08,73633.10033460656,VEND10,CLI190,Consórcio
SALE0153,CAR0233,2025-06-15,55425.38665727505,VEND05,CLI486,Consórcio
SALE0154,CAR0734,2025-07-14,33379.800796860436,VEND01,CLI331,Consórcio
SALE0155,CAR0640,2025-08-22,28948.445233656,VEND09,CLI469,À vista
SALE0156,CAR0867,2025-07-22,42397.58130122057,VEND08,CLI199,Consórcio
SALE0157,CAR0929,2025-10-13,35467.04525448723,VEND03,CLI252,Consórcio
SALE0158,CAR0290,2025-10-24,56969.708832529635,VEND10,CLI178,À vista
SALE0159,CAR0912,2025-08-23,52282.23416524572,VEND05,CLI292,À vista
SALE0160,CAR0287,2025-11-07,61396.320141667005,VEND04,CLI324,Consórcio
SALE0161,CAR0078,2025-10-29,71782.72237469014,VEND10,CLI050,Consórcio
SALE0162,CAR0590,2025-07-16,43560.126951211714,VEND10,CLI470,À vista
SALE0163,CAR0169,2025-11-23,57716.68661153319,VEND09,CLI380,Financiado
SALE0164,CAR0807,2025-07-03,55948.8113383356,VEND08,CLI062,À vista
SALE0165,CAR0653,2025-09-16,43884.015710800115,VEND10,CLI194,Consórcio
SALE0166,CAR0951,2025-07-31,44216.672073435766,VEND03,CLI354,Financiado
SALE0167,CAR0563,2025-08-02,36614.140984729485,VEND06,CLI389,Financiado
SALE0168,CAR0121,2025-10-15,62687.59150245234,VEND07,CLI081,Consórcio
SALE0169,CAR0097,2025-08-06,64639.745855366,VEND10,CLI031,Consórcio
SALE0170,CAR0180,2025-06-18,27554.710925224135,VEND06,CLI382,À vista
SALE0171,CAR0723,2025-11-04,70200.49126852011,VEND07,CLI464,Financiado
SALE0172,CAR0739,2025-08-03,76040.98038357431,VEND05,CLI434,Financiado
SALE0173,CAR0671,2025-07-26,63476.61503022489,VEND02,CLI082,Consórcio
SALE0174,CAR0277,2025-10-22,42201.98734436009,VEND08,CLI070,Consórcio
SALE0175,CAR0999,2025-08-06,71543.25065303178,VEND08,CLI402,À vista
SALE0176,CAR0655,2025-09-14,47795.40146746318,VEND06,CLI196,À vista
SALE0177,CAR0879,2025-10-01,68814.74285692394,VEND09,CLI357,À vista
SALE0178,CAR0082,2025-07-25,61647.71867001099,VEND03,CLI240,Financiado
SALE0179,CAR0669,2025-08-23,58669.99664380901,VEND09,CLI324,À vista
SALE0180,CAR0261,2025-08-30,58382.06481526043,VEND09,CLI077,Financiado
SALE0181,CAR0984,2025-07-02,49281.46141074338,VEND10,CLI446,À vista
SALE0182,CAR0939,2025-09-28,32561.964335699296,VEND09,CLI133,Financiado
SALE0183,CAR0427,2025-11-08,49961.49819636807,VEND06,CLI427,À vista
SALE0184,CAR0322,2025-07-03,62104.56947772516,VEND04,CLI042,Consórcio
SALE0185,CAR0586,2025-10-28,72795.00939893031,VEND09,CLI354,Consórcio
SALE0186,CAR0693,2025-06-29,74121.42245648682,VEND10,CLI399,Financiado
SALE0187,CAR0490,2025-06-29,60352.26509270917,VEND02,CLI449,Consórcio
SALE0188,CAR0502,2025-07-29,39135.087509680205,VEND03,CLI420,À vista
SALE0189,CAR0491,2025-11-07,51841.1396286612,VEND03,CLI219,À vista
SALE0190,CAR0602,2025-06-07,66035.70642667256,VEND02,CLI017,À vista
SALE0191,CAR0818,2025-08-16,38918.28729737665,VEND05,CLI094,Consórcio
SALE0192,CAR0633,2025-08-17,40527.21083827455,VEND03,CLI387,Consórcio
SALE0193,CAR0433,2025-08-17,34121.621893955475,VEND08,CLI215,À vista
SALE0194,CAR0513,2025-07-11,72413.48617777062,VEND10,CLI216,À vista
SALE0195,CAR0868,2025-08-11,49898.01682035953,VEND10,CLI382,Consórcio
SALE0196,CAR0729,2025-07-26,27089.684438217213,VEND02,CLI444,Consórcio
SALE0197,CAR0837,2025-09-17,35480.41453576103,VEND05,CLI439,À vista
SALE0198,CAR0477,2025-08-19,50271.415277784785,VEND01,CLI340,Financiado
SALE0199,CAR0645,2025-10-24,37423.71458785932,VEND10,CLI125,Financiado
SALE0200,CAR0292,2025-07-24,42758.09656334111,VEND08,CLI024,À vista
